Model,Seed,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
24,7106,64,230,0.014026239,0.008050984,78.6,0.011855982,68.6,37,42,20,16,0.654925588,0.696850586,0.673625391,0.722060353,0.683433646,0.70088942,0.690142116,0.376324272,0.690142116,0.378625476
12,3469,16,210,0.000691307,0.03284051,75.8,0.04078644,68.2,38,41,21,15,0.654658108,0.712859428,0.676210903,0.732183876,0.669404642,0.692392773,0.691132035,0.37598816,0.691132035,0.384524269
11,9501,32,160,0.002598558,0.013909105,79.8,0.02190643,68.2,37,42,20,16,0.662833994,0.695142766,0.669810031,0.72649677,0.687055218,0.697657647,0.691098992,0.375676119,0.691098992,0.385710137
34,2813,24,15,0.000297108,0.020353338,76.6,0.026641452,68.2,36,43,19,17,0.662181452,0.678072408,0.663761857,0.718438026,0.69804513,0.70214747,0.688058769,0.371457685,0.688058769,0.378349849
23,3065,56,55,0.000215562,0.009411303,73.8,0.012493337,68.6,34,45,16,19,0.676639187,0.630790051,0.642095362,0.708318981,0.739697085,0.717235118,0.685243568,0.368880657,0.685243568,0.37728582
38,8037,256,120,0.09814119,0.001613942,83.2,0.006361191,68.4,36,44,18,17,0.658224379,0.663502702,0.65973467,0.709958355,0.704323477,0.706186872,0.68391309,0.366844358,0.68391309,0.367997687
71,3580,256,30,0.001271207,0.002001547,77.6,0.005202443,68.4,32,48,14,21,0.691108457,0.599409489,0.638398312,0.689248295,0.764005066,0.722665298,0.681707277,0.366205325,0.681707277,0.371691158
42,5991,24,150,0.002136402,0.023577042,73.2,0.02864121,67.6,38,40,22,15,0.649605684,0.715943873,0.672430962,0.733107217,0.656429403,0.681199455,0.686186638,0.365865828,0.686186638,0.377383199
47,1443,48,185,0.001121869,0.010444159,76,0.015324621,67.6,36,43,19,17,0.663369467,0.673957905,0.658211597,0.716561463,0.698056191,0.698561612,0.686007048,0.365761844,0.686007048,0.375872135
75,7424,8,70,0.000246643,0.062060068,77,0.076957578,67.6,36,42,20,17,0.655405287,0.677713836,0.662766586,0.712214632,0.690030457,0.697673817,0.683872146,0.364023915,0.683872146,0.367676769
20,4734,32,245,0.000146675,0.015229051,76.4,0.020487989,68.2,33,47,15,20,0.680536033,0.604440711,0.634382349,0.694336734,0.759010623,0.721810009,0.681725667,0.362891061,0.681725667,0.368974029
66,2684,256,30,0.000857237,0.002154215,76.4,0.005063938,67.8,33,46,16,20,0.675577342,0.619027717,0.636563324,0.699061033,0.741341131,0.713822768,0.680184424,0.358915095,0.680184424,0.367210345
37,2871,40,90,0.000277574,0.012131388,76.6,0.016430386,67.6,32,47,15,21,0.675360834,0.60041488,0.63386165,0.685541785,0.751159884,0.715650743,0.675787382,0.352809081,0.675787382,0.356174865
25,2374,256,35,0.000707511,0.002311846,72.4,0.005127042,67.2,34,44,18,19,0.660387195,0.631247584,0.636859998,0.701869904,0.722049715,0.705259237,0.676648649,0.349893678,0.676648649,0.357663481
21,9743,40,45,0.06312789,0.022172735,78.2,0.031471432,67.6,34,45,17,19,0.659072309,0.634681503,0.643922371,0.697752517,0.713050687,0.703023884,0.673866095,0.349858237,0.673866095,0.352216614
29,8983,256,80,0.000197874,0.002213928,75,0.005421117,67,32,45,16,21,0.661551351,0.605470047,0.630836143,0.6826494,0.733256353,0.706029262,0.6693632,0.339049504,0.6693632,0.341434344
13,9011,256,55,0.000169609,0.002175091,74.6,0.005276911,66.4,32,45,16,21,0.656580672,0.591981213,0.619113626,0.678056488,0.734280142,0.702928156,0.663130677,0.326258897,0.663130677,0.330347792
72,1818,256,10,0.002469551,0.002393083,70.2,0.005271175,66.4,31,46,16,22,0.662156654,0.576822309,0.612223252,0.675907751,0.74929676,0.707907187,0.663059534,0.326225161,0.663059534,0.331959529
35,6895,256,25,0.000930068,0.00221479,73,0.005216811,65.8,34,43,19,19,0.633596645,0.629222343,0.625081618,0.692270586,0.692649454,0.687637303,0.660935899,0.31875552,0.660935899,0.323790701
26,4330,256,75,0.000102827,0.00231965,72.8,0.00590414,63.6,30,44,18,23,0.627746394,0.55740216,0.587397409,0.652435055,0.715363883,0.680390208,0.636383022,0.272689964,0.636383022,0.276400256
30,9689,256,40,0.00011977,0.002475908,71.4,0.005835346,62.8,29,44,18,24,0.631655547,0.544941989,0.573323222,0.653220614,0.722364225,0.677764066,0.633653107,0.264423344,0.633653107,0.275791991
