Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
37,5692,2,175,16,140,0.002403896,0.039693557,63.8,0.042074548,63.4,23,51,11,30,0.652960397,0.419483196,0.493156095,0.626696369,0.811825828,0.70410884,0.615654512,0.234664182,0.615654512,0.252161997
77,2940,1,185,256,170,0.0009458,0.002970448,58.4,0.005585026,63.2,24,50,12,29,0.545276963,0.427812544,0.473860989,0.62629489,0.80345331,0.697131048,0.615632927,0.233181923,0.615632927,0.243315891
23,8894,3,30,256,80,0.003503861,0.002914807,59,0.005731746,63,22,51,11,31,0.544761905,0.402997915,0.461289434,0.622403515,0.82480112,0.705067298,0.613899518,0.230329406,0.613899518,0.239552015
136,753,1,55,256,160,0.001889878,0.002960214,58.8,0.005642618,62.6,23,50,12,30,0.673099851,0.4279285,0.493765388,0.618643275,0.796581422,0.691729863,0.612254961,0.229242907,0.612254961,0.250412613
48,4491,3,175,48,200,0.000256593,0.016524471,58.6,0.016853286,62.6,21,52,10,32,0.546079421,0.386624211,0.447710981,0.622256821,0.840895975,0.709829299,0.613760093,0.228904492,0.613760093,0.239853655
148,8913,1,80,256,190,0.001828675,0.002759144,64.2,0.005560897,61.6,31,41,21,22,0.627878225,0.563830913,0.566359612,0.674181864,0.661359673,0.613896761,0.612595293,0.227523604,0.612595293,0.256707297
76,4325,1,10,48,55,0.000608748,0.014502654,60,0.017184705,61.8,24,48,14,29,0.611963363,0.447069473,0.509245897,0.624433032,0.775311144,0.689051137,0.611190308,0.22286156,0.611190308,0.229219263
36,6915,2,70,40,195,0.000828272,0.017186111,58.6,0.017393366,62.2,20,52,10,33,0.637660191,0.375938946,0.461696106,0.616316764,0.841527294,0.708757821,0.60873312,0.222118046,0.60873312,0.234330055
31,515,4,45,40,150,0.001319793,0.017877579,58.8,0.017948478,61.8,25,48,14,28,0.518304884,0.446417247,0.466166005,0.637157832,0.778377006,0.686550318,0.612397127,0.221229701,0.612397127,0.232168804
78,8108,1,190,64,110,0.001460076,0.013154503,57.4,0.012068944,62,33,40,22,20,0.506001769,0.583791038,0.522000866,0.537337383,0.638868222,0.572706604,0.61132963,0.220243628,0.61132963,0.225327675
47,2361,2,170,128,155,0.000359941,0.005708241,58.8,0.00651027,63,22,51,11,31,0.548929761,0.402061216,0.4511242,0.623598824,0.813521117,0.700105361,0.607791167,0.220164697,0.607791167,0.233535856
53,6553,1,30,256,80,0.005072564,0.003133858,57.6,0.005729083,62.4,21,52,10,32,0.635018315,0.385054959,0.473512784,0.614099971,0.827809541,0.704550455,0.60643225,0.216326071,0.60643225,0.230019333
55,3348,1,30,256,100,0.002841336,0.007790031,56.2,0.005734617,61.4,24,47,15,29,0.612422239,0.449617084,0.511846587,0.617603298,0.760896563,0.679563764,0.605256823,0.212632619,0.605256823,0.220040027
50,4441,2,165,64,145,0.002354242,0.033156057,59.8,0.012121542,62.8,18,55,7,35,0.603478768,0.327666907,0.396619805,0.613967365,0.880385203,0.719619799,0.604026055,0.211589217,0.604026055,0.241515451
38,1448,1,140,256,185,0.000183952,0.002893848,60.6,0.005758884,62,21,52,10,32,0.537548488,0.377742735,0.442119109,0.613086071,0.830802092,0.701826494,0.604272414,0.211423782,0.604272414,0.221576464
51,8702,1,30,256,80,0.004977546,0.003779408,58.8,0.005728276,61.4,23,48,13,30,0.60615727,0.427849362,0.49842001,0.616657315,0.781112649,0.688199143,0.604481005,0.21009262,0.604481005,0.21603827
114,6235,1,145,256,120,0.000300913,0.003062274,60,0.00575593,61.8,21,51,10,32,0.536965462,0.378007548,0.441953155,0.612402028,0.828758416,0.700561599,0.603382982,0.209427107,0.603382982,0.220029495
32,4515,2,125,256,70,0.000349095,0.002952746,59.8,0.005786894,61.6,22,50,12,31,0.528794333,0.399206051,0.4514392,0.615529467,0.808588924,0.693566708,0.603897487,0.209195104,0.603897487,0.218135472
139,1851,2,160,256,90,0.001359313,0.002901293,57.6,0.00573141,61.8,23,49,12,30,0.725560382,0.410744191,0.467422518,0.612093447,0.793513957,0.684761879,0.602129074,0.208405037,0.602129074,0.239723409
66,3782,1,160,256,170,0.001495571,0.002916936,56.2,0.005541849,62,23,49,13,30,0.647000138,0.425074987,0.482324802,0.609102587,0.775780559,0.674659128,0.600427773,0.206205988,0.600427773,0.224442853
11,7238,3,190,128,55,0.000697576,0.005903015,58.2,0.006707554,62.2,19,54,8,34,0.556636395,0.34057097,0.41831085,0.6085125,0.860971584,0.710903512,0.600771277,0.205918667,0.600771277,0.223545217
137,5225,1,45,128,190,0.000818142,0.005586913,60.8,0.006412118,61.2,24,47,15,29,0.506707946,0.442587231,0.46662527,0.624540409,0.763302039,0.677828824,0.602944635,0.20509869,0.602944635,0.210797215
105,3123,3,195,56,65,0.002566529,0.012826192,59,0.014406076,62,19,54,8,34,0.564929356,0.338853521,0.419209068,0.604177328,0.858828521,0.706447894,0.598841021,0.20298502,0.598841021,0.223712827
19,6721,3,75,56,85,0.002393981,0.013162111,58.2,0.014517728,61,22,50,12,31,0.51500038,0.393157339,0.441871345,0.614432319,0.806165495,0.691368814,0.599661417,0.199656077,0.599661417,0.20659597
73,6991,1,135,256,50,0.001786594,0.003211059,58.2,0.005748339,62,19,53,8,34,0.546819479,0.340205495,0.414963161,0.607065767,0.855081753,0.70772545,0.597643624,0.199097652,0.597643624,0.215092277
84,7829,4,200,128,135,0.001158986,0.005628697,60.6,0.006426749,61.8,20,52,10,33,0.64890681,0.358578749,0.439099131,0.604523988,0.835702706,0.698516492,0.597140727,0.198394651,0.597140727,0.219501991
75,3289,3,200,256,120,0.00374714,0.002816751,60.6,0.005601404,61.6,19,52,9,34,0.535412758,0.354558889,0.421111404,0.608636564,0.83755338,0.701358212,0.596056135,0.196114949,0.596056135,0.208942018
97,38,1,15,128,185,0.001616019,0.011698603,57.6,0.006407268,60.6,25,46,16,28,0.592775506,0.451635633,0.486572284,0.616278248,0.744350942,0.666820089,0.597993287,0.195802039,0.597993287,0.2021119
5,3378,2,170,128,175,0.000629559,0.005738678,57.8,0.006537489,61.4,20,51,11,33,0.521121193,0.372185498,0.432623828,0.607745439,0.816460181,0.693588039,0.594322839,0.192034143,0.594322839,0.200608628
44,7314,1,85,256,85,0.000321278,0.002895558,60.2,0.005762727,60.8,21,50,12,32,0.523491285,0.377130727,0.434099969,0.606396569,0.810977782,0.688799673,0.594054255,0.190194136,0.594054255,0.200867081
149,144,1,80,256,115,0.00164475,0.00347587,56.8,0.005709919,61,25,46,16,28,0.726349939,0.456770353,0.488312621,0.575981131,0.726894009,0.623452497,0.591832181,0.189327062,0.591832181,0.217397086
135,3212,1,100,40,95,0.001173787,0.019265108,56.8,0.018044086,61.4,22,49,13,31,0.521283925,0.41087859,0.441643677,0.617789271,0.77378214,0.675754857,0.592330365,0.188507121,0.592330365,0.201951248
29,2098,3,165,128,135,0.001001663,0.005790582,57,0.00648322,61.4,20,52,10,33,0.538903319,0.362079496,0.422384663,0.605040772,0.820289717,0.691941478,0.591184607,0.187214448,0.591184607,0.202802477
102,6919,4,25,256,85,0.00850548,0.002919626,55.8,0.005775965,60.6,30,41,21,23,0.494140829,0.537000769,0.494886292,0.613911978,0.649565745,0.572027,0.593283257,0.186433823,0.593283257,0.189672517
111,9353,4,155,256,195,0.000631432,0.002828497,61.6,0.005627636,60.8,18,53,9,35,0.622618993,0.327430357,0.415237589,0.600420249,0.855496345,0.704100677,0.591463351,0.18616532,0.591463351,0.202314709
25,2634,2,45,64,95,0.001856747,0.012528832,56.8,0.012366109,60.4,30,41,21,23,0.498151261,0.540508561,0.496373323,0.512730155,0.644003783,0.563079701,0.592256172,0.185935118,0.592256172,0.190010057
90,7457,3,100,48,95,0.002648356,0.014726285,58.4,0.016745012,60.4,21,50,12,32,0.61589989,0.383009208,0.458581709,0.603494643,0.799102849,0.68396445,0.591056028,0.185769803,0.591056028,0.199339277
131,9768,4,165,256,145,0.000667173,0.004514224,58.4,0.00568082,60.8,18,53,9,35,0.529835458,0.323522747,0.398470811,0.600976102,0.858833383,0.703890905,0.591178065,0.18532645,0.591178065,0.198236864
17,4984,4,180,128,70,0.00166758,0.005920743,57.4,0.006669839,61.6,17,55,7,36,0.610559397,0.309749902,0.376462585,0.603108526,0.871569026,0.709493631,0.590659464,0.18488873,0.590659464,0.218843747
100,1456,1,80,32,115,0.000967418,0.022919948,57,0.023204048,60.2,22,48,14,31,0.599227235,0.414836293,0.476120033,0.61369409,0.766879529,0.676275747,0.590857911,0.183676739,0.590857911,0.195846814
14,967,2,95,256,115,0.000188663,0.002920195,58.6,0.005771404,60.6,27,44,18,26,0.520516717,0.483348456,0.472008332,0.601568211,0.697333714,0.585362427,0.590341085,0.183137382,0.590341085,0.193344042
104,4974,2,130,256,130,0.00021739,0.002909426,60,0.005745336,60.4,28,43,19,25,0.512040747,0.493481388,0.473850439,0.50204442,0.684319042,0.575003607,0.588900215,0.179775906,0.588900215,0.188026186
142,5701,1,105,256,85,0.000156408,0.00292249,58.6,0.005836119,60,21,49,13,32,0.719442308,0.38392403,0.436723091,0.598339579,0.79009415,0.672772373,0.58700909,0.176799359,0.58700909,0.207354756
54,6961,1,130,256,45,0.009405603,0.003019182,56.6,0.005770382,60.4,19,51,11,34,0.610553891,0.361972496,0.446433989,0.600513181,0.811791256,0.689771803,0.586881876,0.175969037,0.586881876,0.190188041
39,489,3,50,16,150,0.001022941,0.04158839,60,0.043772666,60.6,17,54,8,36,0.667967572,0.310488875,0.391046043,0.597235628,0.85816028,0.700999547,0.584324577,0.172616224,0.584324577,0.202389131
96,3213,3,55,16,170,0.001977862,0.04150509,60.6,0.043100067,60.4,19,51,11,34,0.502872629,0.352593785,0.409615837,0.603759877,0.817951354,0.690637603,0.585272569,0.172564849,0.585272569,0.180294521
119,2357,3,10,256,70,0.004733381,0.002911141,57.4,0.005801834,60.2,22,48,14,31,0.499429643,0.397543441,0.436460497,0.603314891,0.773789033,0.670466393,0.585666237,0.172454323,0.585666237,0.17914725
98,6791,2,20,8,125,0.005790764,0.081450393,61.8,0.08399323,60,16,53,8,37,0.637706374,0.307072067,0.409307405,0.591422823,0.860320655,0.700132532,0.583696361,0.17154046,0.583696361,0.195243102
43,2655,4,110,40,115,0.008311013,0.016731892,62.4,0.01789197,60,23,47,15,30,0.58591876,0.422969724,0.467011471,0.609599391,0.746816316,0.66492194,0.58489302,0.171344184,0.58489302,0.180627446
144,5764,1,20,256,65,0.00067127,0.002973203,58,0.005799708,59.8,22,48,14,31,0.628265635,0.402356251,0.453718576,0.598602853,0.765563137,0.667417001,0.583959694,0.170540466,0.583959694,0.186231492
40,6786,2,170,56,130,0.00057878,0.014688166,54.6,0.014630025,60.8,17,53,9,36,0.595992632,0.323165263,0.357842606,0.605009449,0.839445786,0.695522643,0.581305525,0.163293746,0.581305525,0.185598294
70,1835,1,155,24,90,0.000468802,0.030620977,54.8,0.029311455,59.4,18,51,10,35,0.62313616,0.33563552,0.386536479,0.604449406,0.822604783,0.683456527,0.579120152,0.161349117,0.579120152,0.185113225
126,795,1,150,256,60,0.00540054,0.002996962,56.4,0.005747855,59.6,22,48,14,31,0.59593985,0.398087076,0.452044713,0.596859489,0.756998258,0.657957608,0.577542667,0.157661825,0.577542667,0.171630881
103,6967,1,180,48,30,0.001374005,0.023751638,48.4,0.017459881,58.4,23,45,16,30,0.607129706,0.418798777,0.433622052,0.612241516,0.733435249,0.642264741,0.576117013,0.1538493,0.576117013,0.17681099
140,1428,1,15,32,185,0.000991436,0.024616821,55,0.024606288,58.6,24,45,17,29,0.468681888,0.430428174,0.446067091,0.599645571,0.719065766,0.645708875,0.57474697,0.149014667,0.57474697,0.151296268
6,2901,2,155,8,40,0.000446186,0.106302824,53,0.08773817,58.4,17,51,10,36,0.475400697,0.306674909,0.353719247,0.590604485,0.834587599,0.684387481,0.570631254,0.142834294,0.570631254,0.146100569
89,4273,4,45,256,45,0.007460896,0.002925517,58.2,0.005779001,58.4,22,46,16,31,0.487529175,0.402366649,0.434231059,0.584960495,0.738736882,0.643766729,0.570551765,0.14233803,0.570551765,0.148979986
22,6430,1,85,8,35,0.007629037,0.127797202,56.2,0.087177221,59,14,54,8,39,0.656984127,0.265872445,0.352720547,0.582356153,0.871014919,0.695158869,0.568443682,0.13962934,0.568443682,0.17577647
27,8516,1,180,32,165,0.000190305,0.023808734,55.8,0.024130111,58,20,48,14,33,0.449519674,0.361239949,0.379869026,0.598985264,0.775265512,0.662846274,0.56825273,0.136257478,0.56825273,0.135549052
68,3580,1,195,256,30,0.002102031,0.003764473,56.6,0.005801982,59.2,19,49,13,34,0.569362211,0.354547668,0.379804962,0.589937947,0.778110373,0.659246908,0.56632902,0.135013226,0.56632902,0.165051416
63,3757,1,20,56,105,0.001131068,0.013108352,55.4,0.014625854,59.4,19,50,12,34,0.446403162,0.343750779,0.364624996,0.599518255,0.792613279,0.673746038,0.568182029,0.134631206,0.568182029,0.116288676
13,2741,1,185,40,10,0.006914925,0.020541247,53.4,0.018360753,58.4,20,48,14,33,0.65069149,0.373222553,0.424005168,0.587671852,0.755826405,0.655757135,0.564524479,0.131185334,0.564524479,0.160442529
1,4167,4,190,40,90,0.000510053,0.021855694,54.2,0.018390807,57.8,19,48,14,34,0.548745211,0.357602463,0.35576198,0.598885068,0.772235183,0.656045035,0.564918823,0.130929694,0.564918823,0.147499985
21,7807,4,90,48,75,0.000255023,0.015352581,52.2,0.017636331,54.8,22,42,20,31,0.533811189,0.446196848,0.372472036,0.674112636,0.68442623,0.555290399,0.565311539,0.130030066,0.565311539,0.163389881
138,2285,4,110,8,105,0.002497318,0.089156198,52.4,0.087084808,59.2,16,53,9,37,0.386059351,0.287573916,0.328844423,0.586951154,0.842183726,0.687020396,0.564878821,0.129786006,0.564878821,0.135303752
134,6256,3,165,16,125,0.000399186,0.044265132,55.8,0.044816058,58.6,12,56,6,41,0.630654762,0.229471127,0.326429321,0.574770909,0.893347084,0.699322261,0.561409105,0.125311861,0.561409105,0.156896031
124,3490,4,125,8,165,0.000493984,0.09150596,56,0.085638244,58.2,26,41,21,27,0.553883016,0.468975756,0.442660637,0.488240046,0.656030895,0.55671776,0.562503325,0.125222308,0.562503325,0.129641232
35,5866,1,35,64,130,0.0001308,0.011434728,57.2,0.012563779,58.8,13,56,6,40,0.404699248,0.237813763,0.298505477,0.580303101,0.885929852,0.699140226,0.561871808,0.123911575,0.561871808,0.123006496
20,8836,4,10,128,95,0.007226183,0.005881855,57.2,0.006651393,58.2,22,45,17,31,0.509968959,0.403635772,0.415404008,0.507552187,0.714688696,0.581089028,0.559162234,0.121778274,0.559162234,0.117652058
118,7664,2,190,56,110,0.00041427,0.01397238,56.2,0.014673232,58.6,16,52,10,37,0.365534105,0.297998081,0.324483092,0.589708734,0.82204031,0.6789626,0.560019196,0.120075615,0.560019196,0.121632211
42,2596,2,100,24,80,0.000546201,0.033009841,49.4,0.030673239,57,12,55,7,41,0.552104019,0.223029501,0.272996013,0.577056653,0.890665195,0.693015856,0.556847348,0.11486271,0.556847348,0.136111429
10,7666,2,85,56,115,0.000196909,0.013351895,53.4,0.014779023,58.6,11,56,6,42,0.265925177,0.218799314,0.240057756,0.583772062,0.89482976,0.698555143,0.556814537,0.113848061,0.556814537,0.115702691
4,5886,2,10,48,55,0.008308037,0.016138479,54.6,0.017622451,56.6,21,45,16,32,0.521007762,0.374077618,0.358801144,0.670622732,0.732582769,0.572624391,0.553330194,0.110638073,0.553330194,0.133619052
92,1866,2,110,56,100,0.000267196,0.014137633,51.8,0.014791703,58.2,13,55,7,40,0.254658385,0.241303602,0.246961577,0.588209191,0.867339218,0.687990374,0.55432141,0.109078261,0.55432141,0.109803027
143,730,1,25,48,45,0.000577832,0.015678915,52.2,0.017421108,56,15,51,11,38,0.405858586,0.280804837,0.308437502,0.5837774,0.825299389,0.670944509,0.553052113,0.105589293,0.553052113,0.10009581
15,9548,4,180,24,110,0.003600168,0.02919872,55.8,0.029614539,57.2,12,55,7,41,0.47508489,0.221909132,0.286698439,0.569517585,0.875842488,0.686785026,0.54887581,0.10088694,0.54887581,0.112080215
71,4054,1,40,40,40,0.001122055,0.022341609,53.8,0.018484696,56.6,14,52,10,39,0.510603544,0.267563114,0.289873013,0.582111125,0.824827356,0.651054901,0.546195235,0.096428011,0.546195235,0.126727478
132,2752,2,70,56,100,0.000935898,0.017281389,54.2,0.014771963,57.6,11,56,6,42,0.256918768,0.203156089,0.225300172,0.575399144,0.891551072,0.69138743,0.547353581,0.094768967,0.547353581,0.097495578
7,6932,3,90,24,70,0.000154769,0.033359277,52.6,0.030669197,56.2,28,37,25,25,0.441130966,0.520476847,0.451989055,0.480247533,0.565998194,0.504956429,0.54323752,0.088594121,0.54323752,0.095120902
113,8553,1,35,32,50,0.000883506,0.0311,51.8,0.025151321,56.4,29,37,25,24,0.560801737,0.529618396,0.461594595,0.648756036,0.555227093,0.481586496,0.542422745,0.088473184,0.542422745,0.109233424
115,9905,1,60,48,55,0.001417166,0.018395931,51.2,0.017849886,54.2,19,45,17,34,0.307317073,0.353918129,0.325377266,0.587134813,0.733606557,0.618124736,0.543762343,0.086998546,0.543762343,0.091296937
