Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Unfreeze_layers,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
119,4876,3,120,10,40,1,0.004526188,0.677738754,55.82918472,0.685509627,55.53763123,17,47,14,36,0.21352381,0.303102015,0.250546329,0.567251153,0.732724902,0.599797691,0.517913458,0.035861813,0.517913458,0.039577102
113,2663,1,185,48,35,3,0.018494898,0.724556668,54.9460083,0.693748458,54.85329056,6,57,4,47,0.309433962,0.113001715,0.121952862,0.550313852,0.921311475,0.680454943,0.517156595,0.034291954,0.517156595,0.054435224
91,4104,4,45,48,10,4,0.005881874,0.689632505,55.04925003,0.688261582,53.35027771,15,46,16,38,0.197509579,0.283747104,0.232711111,0.561357663,0.751730769,0.603538569,0.517738936,0.033914301,0.517738936,0.036995245
111,8849,4,10,14,40,1,0.000191046,0.659846101,60.01648331,0.686722384,54.15948944,18,44,17,35,0.41964702,0.318443785,0.328165326,0.546549829,0.714774724,0.587818515,0.516609254,0.033801824,0.516609254,0.041141275
30,5943,3,25,32,5,1,0.004928635,0.685032802,55.46642151,0.689067265,55.09463272,11,52,9,42,0.408474576,0.207030859,0.231249303,0.55131823,0.826137869,0.651565054,0.516584364,0.033565596,0.516584364,0.039052179
120,9324,1,85,16,30,3,0.000295293,0.679714804,57.52171936,0.750493609,50.92215652,23,36,26,30,0.528473178,0.435822708,0.430693024,0.540919372,0.595210315,0.539882453,0.515516511,0.032841459,0.515516511,0.047393143
92,5828,3,155,40,15,1,0.001296561,0.680822534,57.00855331,0.686781066,54.25929947,18,45,17,35,0.497473945,0.343813963,0.3261183,0.552174529,0.687490115,0.588275851,0.515652039,0.03183392,0.515652039,0.052806164
14,1673,4,180,40,25,2,0.055124971,1.083748487,51.7085228,1.003959408,55.21963348,14,49,13,39,0.213617978,0.261208826,0.231881396,0.559750999,0.76916558,0.617110272,0.515187203,0.030367104,0.515187203,0.033123558
78,6612,3,190,8,5,3,0.001880188,0.68612802,55.37037735,0.686779791,51.83365555,11,49,13,42,0.179181287,0.226666667,0.193518068,0.561611337,0.803852459,0.621559605,0.515259563,0.028180423,0.515259563,0.033407393
59,351,3,30,12,25,0,0.001160448,0.670878775,57.56547928,0.681426079,53.41431656,27,35,27,26,0.484587581,0.485479208,0.428655137,0.565106111,0.54301478,0.514319288,0.514246994,0.027659998,0.514246994,0.035938619
44,9636,2,120,10,5,1,0.001550153,0.687412581,53.8159523,0.68659282,54.68087769,9,54,8,44,0.214166667,0.174339623,0.19164148,0.546794941,0.852522068,0.658876019,0.513430845,0.027141639,0.513430845,0.027943489
129,9783,2,65,40,45,3,0.001346057,0.673938465,58.02477036,0.704660191,52.11349869,30,30,32,23,0.465310086,0.564558387,0.498834709,0.579733202,0.464402932,0.485460806,0.51448066,0.027117883,0.51448066,0.034734959
8,739,1,200,32,25,2,0.050891105,0.754698727,52.15406876,0.686864319,54.35411301,8,55,7,45,0.2160401,0.150737564,0.168436293,0.54612802,0.873581337,0.663377144,0.512159451,0.024232957,0.512159451,0.026968958
101,9289,4,105,8,40,3,0.004024919,0.679226812,56.73355942,0.688857761,53.61027069,4,58,4,49,0.1,0.080701754,0.089320388,0.544589098,0.9425,0.683111635,0.511600877,0.023863765,0.511600877,0.024216068
107,8662,4,75,16,40,3,0.023429155,0.68877579,53.75878067,0.686215196,54.1275116,7,56,6,46,0.104347826,0.130909091,0.116129032,0.550079216,0.891803279,0.663094336,0.511356185,0.022431557,0.511356185,0.023101237
54,2873,3,155,10,25,5,0.003424932,0.693136839,53.60586548,0.684203959,53.31829987,5,56,5,48,0.096428571,0.094736842,0.095575221,0.545240298,0.9275,0.676486376,0.511118421,0.022293064,0.511118421,0.022295592
6,5242,2,145,12,15,2,0.009597846,0.697724036,54.41974182,0.687610027,53.87570038,9,53,9,44,0.221052632,0.175367232,0.181666667,0.535622476,0.84145596,0.638996092,0.508411596,0.019314151,0.508411596,0.024992559
70,3538,4,200,10,40,0,0.000556543,0.687060918,53.98087082,0.685813931,53.94340897,15,47,15,38,0.315550239,0.280500044,0.27810921,0.544088543,0.737776519,0.606821572,0.509138281,0.018153145,0.509138281,0.02246168
47,3942,1,115,24,35,2,0.000325553,0.674518377,57.391539,0.728568367,50.89117203,24,34,28,29,0.474656746,0.445148327,0.443409232,0.544352963,0.571152671,0.542568123,0.508150499,0.016467796,0.508150499,0.017562089
82,8918,4,170,8,10,3,0.001010936,0.670561243,58.51212311,0.685425646,54.54166718,19,43,18,34,0.20577895,0.352094659,0.259172113,0.564384267,0.663559322,0.525002087,0.507826991,0.015718847,0.507826991,0.022000354
51,4389,3,195,8,25,5,0.002395166,0.687689841,55.90465927,0.685145336,54.04822693,1,62,0,52,0.133333333,0.021052632,0.036363636,0.539626872,0.9925,0.697855225,0.506776316,0.015419162,0.506776316,0.02696372
136,4853,2,135,10,40,0,0.001871156,0.68589238,55.09446259,0.687086754,53.79729538,23,39,23,30,0.304236373,0.416477018,0.346887021,0.499286289,0.597448009,0.510479176,0.506962514,0.013545801,0.506962514,-0.000602245
58,9024,4,130,32,40,5,0.002624747,0.684920022,55.90677948,0.68597548,54.08020477,5,57,5,48,0.174666667,0.108904336,0.117552782,0.541751833,0.901538462,0.669781269,0.505221399,0.009995276,0.505221399,0.006256241
100,9047,2,165,48,35,1,0.000587708,0.688225261,54.39536896,0.689118964,50.63122406,21,38,24,32,0.468118606,0.412286615,0.361037417,0.54037523,0.593920961,0.519234011,0.503103788,0.00875544,0.503103788,0.00664908
108,7168,2,145,10,5,0,0.000169016,0.677601029,58.69527206,0.691260899,52.5650238,16,44,18,37,0.529794264,0.302617286,0.329374504,0.537250492,0.703483339,0.595300408,0.503050313,0.007869972,0.503050313,0.024096951
20,3668,2,180,40,15,0,0.039254593,0.713456611,51.7583786,0.688687213,53.94925385,11,51,11,42,0.101754386,0.196610169,0.134104046,0.586102694,0.810169492,0.582958025,0.503389831,0.006779661,0.503389831,0.018731716
80,8796,4,145,8,15,3,0.005339873,0.693801059,52.65357132,0.689628885,53.78268433,0,62,0,53,0.2,0.003636364,0.007142857,0.537017236,1,0.698026996,0.501818182,0.003820858,0.501818182,0.019641048
95,5007,3,70,8,5,3,0.000916743,0.66791668,58.2394455,0.694183575,51.07872696,11,48,14,42,0.259848485,0.239386517,0.207697538,0.534237136,0.761704747,0.583734869,0.500545632,0.000922379,0.500545632,-0.018298264
3,1153,4,195,10,35,5,0.095861607,0.715945061,51.06921158,0.687782753,53.80074692,22,40,22,31,0.200952381,0.4,0.267510549,0.337055075,0.6,0.43142633,0.5,0,0.5,0
15,2600,4,85,32,20,1,0.078972607,0.733169882,50.41978531,0.688015016,53.80074692,10,52,10,43,0.100952381,0.2,0.134177215,0.437055075,0.8,0.564759663,0.5,0,0.5,0
16,3052,2,15,48,15,1,0.022142467,0.692230822,53.74831772,0.688405075,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
19,8475,4,190,32,30,2,0.048569591,0.71776839,51.54871826,0.687768884,53.80074692,10,52,10,43,0.100952381,0.2,0.134177215,0.437055075,0.8,0.564759663,0.5,0,0.5,0
27,8585,4,150,14,35,4,0.019912319,0.707545771,49.84940643,0.687902525,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
28,4412,4,105,40,35,3,0.067651027,0.775301516,52.19847107,0.687738101,53.61027069,11,50,11,42,0.1,0.2,0.133333333,0.436102694,0.8,0.563910406,0.5,0,0.5,0
29,2629,4,180,12,20,2,0.055186035,0.729805148,52.07644272,0.68815258,53.80074692,22,40,22,31,0.200952381,0.4,0.267510549,0.337055075,0.6,0.43142633,0.5,0,0.5,0
33,9691,2,80,24,10,5,0.045666498,0.757111298,50.65807724,0.688074157,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
40,4452,3,120,16,45,4,0.043464266,0.711321349,51.36259003,0.687795804,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
41,1288,2,175,10,45,5,0.043334891,0.719055434,50.64466095,0.687772694,53.80074692,10,52,10,43,0.100952381,0.2,0.134177215,0.437055075,0.8,0.564759663,0.5,0,0.5,0
45,1595,3,95,16,45,1,0.084086139,0.714947987,52.57215805,0.687844664,53.80074692,10,52,10,43,0.100952381,0.2,0.134177215,0.437055075,0.8,0.564759663,0.5,0,0.5,0
56,4809,3,40,8,20,5,0.002161635,0.690593233,53.2601387,0.687452449,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
60,7534,4,195,32,20,5,0.004621066,0.693230988,53.72434921,0.687773913,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
72,9400,4,90,12,40,5,0.01466803,0.693667658,52.09452667,0.688411236,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
77,1432,4,110,8,40,3,0.009659728,0.693276209,53.49760513,0.688521598,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
85,2928,3,80,40,5,4,0.033598704,0.748300758,51.21673889,0.689411662,52.57578735,11,50,12,42,0.094827586,0.2,0.128654971,0.43093028,0.8,0.559390632,0.5,0,0.5,0
86,5241,4,145,12,20,0,0.007367143,0.69477506,52.24814301,0.688271369,53.61027069,11,50,11,42,0.1,0.2,0.133333333,0.436102694,0.8,0.563910406,0.5,0,0.5,0
93,1929,4,100,12,45,0,0.033240415,0.728470409,48.08558273,0.688171199,53.80074692,10,52,10,43,0.100952381,0.2,0.134177215,0.437055075,0.8,0.564759663,0.5,0,0.5,0
96,1676,4,40,10,30,3,0.099630061,0.701604395,52.03776627,0.688069076,53.61027069,11,50,11,42,0.1,0.2,0.133333333,0.436102694,0.8,0.563910406,0.5,0,0.5,0
99,6914,4,10,14,40,0,0.008496297,0.691749269,53.39017334,0.6897936,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
102,6993,3,30,10,15,5,0.003093192,0.691292637,53.93983078,0.68838642,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
103,9907,4,125,24,10,2,0.012313321,0.696530082,51.75946732,0.687766055,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
128,3559,4,145,10,40,1,0.002753269,0.693589476,52.96840591,0.688982469,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
130,1747,3,55,10,25,5,0.026530405,0.69564463,51.5911171,0.688828768,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
135,8019,4,100,14,20,4,0.013146636,0.693155237,52.50755768,0.6892268,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
138,7725,4,195,8,15,1,0.002299272,0.692159356,53.50864716,0.690590389,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
139,7971,4,70,24,10,5,0.058914807,0.749769187,52.30019379,0.701151918,53.80074692,22,40,22,31,0.200952381,0.4,0.267510549,0.337055075,0.6,0.43142633,0.5,0,0.5,0
118,5022,4,35,12,25,0,0.000241283,0.677622447,57.22922897,0.690130783,52.03670349,9,51,11,44,0.177812018,0.168867624,0.172138266,0.540035251,0.83141706,0.640973196,0.500142342,-0.000259681,0.500142342,-0.019992953
37,9013,4,185,40,15,2,0.010526646,0.696098586,52.26783371,0.686031476,53.43785629,0,62,0,53,0.066666667,0.003636364,0.006896552,0.535355059,0.993442623,0.695022816,0.498539493,-0.003063457,0.498539493,-0.009189248
79,5050,1,145,8,35,3,0.024859208,0.69366046,54.35644455,0.686934651,52.36446915,11,49,13,42,0.184639017,0.214262872,0.181199811,0.514311162,0.758436104,0.57503509,0.486349488,-0.02829304,0.486349488,-0.0510479
31,3094,4,140,32,10,2,0.000640994,0.674751799,57.92607117,0.713184797,46.42674408,35,18,44,18,0.447301444,0.662361021,0.531423834,0.506847969,0.295469895,0.368224311,0.478915458,-0.042292931,0.478915458,-0.043957579
