Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
145,9686,2,25,256,25,0.002621914,0.00345064,51.4,0.005837156,60.4,19,51,11,34,0.525472974,0.348559814,0.413197717,0.599027878,0.825035159,0.68954656,0.586797487,0.176430593,0.586797487,0.190355648
64,2112,2,175,128,85,0.007869268,0.005811418,58.2,0.006631455,60.2,22,48,13,31,0.632797947,0.397385581,0.450526803,0.60223433,0.774083025,0.672434964,0.585734303,0.175341519,0.585734303,0.191881839
74,3629,4,40,8,195,0.00158255,0.081150099,62.4,0.085178249,59.4,23,46,16,30,0.603270087,0.43066065,0.483990733,0.605360568,0.741359352,0.66079815,0.586010001,0.174492179,0.586010001,0.187689648
54,1024,3,100,256,170,0.00339374,0.002881819,58.8,0.005731423,60,20,50,12,33,0.509698682,0.367337319,0.420454049,0.602121892,0.806147274,0.683105619,0.586742296,0.173885866,0.586742296,0.184482072
115,6682,2,20,128,180,0.001346915,0.00654266,59.4,0.006647192,59.8,23,47,15,30,0.492083209,0.408635943,0.441894782,0.607849519,0.76501229,0.669932118,0.586824116,0.173758068,0.586824116,0.17905302
20,7311,1,25,256,115,0.000123478,0.002945663,54,0.005857252,60.2,20,50,12,33,0.512760483,0.367364249,0.424782705,0.598263763,0.803683448,0.681429881,0.585523849,0.173680152,0.585523849,0.182978439
99,9803,3,185,64,85,0.003922856,0.011695646,57.4,0.01234864,59.8,23,47,15,30,0.490132417,0.418144769,0.44574211,0.609152963,0.754063415,0.664804976,0.586104092,0.172423197,0.586104092,0.178020279
110,5791,2,65,256,55,0.000450785,0.002926047,56.2,0.005850998,60,21,49,13,32,0.509391053,0.37337738,0.420052983,0.603566021,0.798858497,0.679593324,0.586117939,0.172317026,0.586117939,0.184060398
132,6916,3,155,256,190,0.000835801,0.002922513,57,0.00572572,59.8,19,50,12,34,0.506482335,0.354499316,0.40839548,0.601958121,0.816983617,0.686163634,0.585741467,0.171280672,0.585741467,0.181797663
128,7317,2,150,256,95,0.003718955,0.003154069,57.2,0.005774955,59.8,21,49,13,32,0.501231659,0.374610046,0.423899537,0.601925935,0.795743743,0.679302723,0.585176894,0.170644505,0.585176894,0.178843532
7,931,3,25,40,175,0.000120374,0.017564807,56.6,0.018433051,59.6,22,48,14,31,0.493891078,0.39168679,0.433350395,0.603761094,0.77846047,0.673919536,0.58507363,0.170324267,0.58507363,0.176149728
97,7685,4,120,256,100,0.002845937,0.002887769,58.6,0.005751062,60.2,20,50,12,33,0.505923276,0.359341313,0.417200145,0.598064197,0.806026674,0.682535351,0.582683994,0.168171459,0.582683994,0.176578335
96,9169,2,160,24,165,0.000899755,0.030005953,56.4,0.030016781,59.4,22,47,15,31,0.569810433,0.404093101,0.451088335,0.603503581,0.763432097,0.669388611,0.583762599,0.167920617,0.583762599,0.171137544
103,4969,2,115,256,145,0.006143677,0.002888129,57.6,0.005735978,59.6,21,48,13,32,0.630080982,0.379990163,0.436535126,0.598528876,0.785574251,0.673932717,0.582782207,0.166892201,0.582782207,0.185666809
112,1535,2,190,256,195,0.005598078,0.002955483,58.4,0.005727988,60,19,50,11,34,0.505662507,0.350313456,0.412867096,0.596450099,0.814133573,0.685169337,0.582223514,0.166384554,0.582223514,0.175336056
83,7558,2,185,56,125,0.007940463,0.012447726,59,0.014423006,59.4,22,47,15,31,0.576361656,0.413197887,0.470170158,0.6020599,0.752160857,0.665470041,0.582679372,0.166383241,0.582679372,0.171675219
49,9876,2,195,64,105,0.004989779,0.011201236,59.6,0.012436757,59.4,23,46,15,30,0.55490839,0.420723533,0.466729147,0.605182356,0.744433016,0.663290708,0.582578274,0.165719635,0.582578274,0.164827637
81,927,2,140,32,80,0.009854909,0.02175798,57,0.023664196,59.6,19,50,11,34,0.561599657,0.352216001,0.420272172,0.596453208,0.810028908,0.684273028,0.581122455,0.164445522,0.581122455,0.166369157
127,26,4,90,48,175,0.001488757,0.014739996,59.8,0.017018285,59,24,45,17,29,0.600664359,0.439423648,0.471656815,0.605112729,0.723345374,0.652070491,0.581384511,0.163339998,0.581384511,0.17695524
31,5176,4,50,48,130,0.004201052,0.014832486,56.8,0.017060898,59.6,20,49,13,33,0.495448731,0.371593361,0.421595751,0.598378584,0.790918738,0.676122141,0.58125605,0.163222426,0.58125605,0.170330066
146,2532,4,160,256,140,0.002007967,0.002869462,59.2,0.005760806,58.8,26,43,19,27,0.573739039,0.471734727,0.499550482,0.604114354,0.690991034,0.636636364,0.581362881,0.163219367,0.581362881,0.169692293
22,5667,3,195,256,90,0.001809839,0.002874221,58.2,0.005769652,59,21,47,14,32,0.574577573,0.392616077,0.450414579,0.600043606,0.770192842,0.669842697,0.58140446,0.162391477,0.58140446,0.168849646
1,3335,1,165,48,180,0.005783435,0.014240826,60.8,0.01734356,58.4,24,44,18,29,0.567886677,0.450310446,0.498302204,0.602354235,0.71217352,0.650577527,0.581241983,0.162209057,0.581241983,0.166262675
8,3637,3,170,32,85,0.006136579,0.021571047,59.8,0.023585982,59.4,19,50,12,34,0.587380952,0.349191387,0.427351474,0.59349689,0.810754804,0.683504018,0.579973095,0.161833274,0.579973095,0.170964524
18,409,2,20,256,30,0.003442055,0.003062615,56.6,0.005812653,59.2,21,48,14,32,0.484420353,0.38668868,0.428031547,0.60068369,0.774725458,0.671109573,0.580707069,0.161564091,0.580707069,0.165627846
89,1515,2,85,128,155,0.006695941,0.005970049,56.4,0.006595403,59.2,20,49,13,33,0.591254951,0.37129462,0.436760895,0.596098017,0.788448714,0.676062458,0.579871667,0.161440998,0.579871667,0.171097159
21,3923,3,135,40,175,0.000953339,0.020010939,51.2,0.018393849,59.2,20,49,13,33,0.495120187,0.364521957,0.412632602,0.599052311,0.79697806,0.676966691,0.580750009,0.161295965,0.580750009,0.169831909
87,8101,2,45,256,95,0.000762756,0.002952337,57.8,0.005820933,59,21,48,14,32,0.488121445,0.383993749,0.4240984,0.600699221,0.7768503,0.670344547,0.580422025,0.160460565,0.580422025,0.166990045
